L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.16666666666666666,44.859552101384054,48.186821957671924,1,403,3,4
0.2261904761904762,43.255900529413765,47.786076507936514,1,403,3,4
0.2857142857142857,41.65635631220877,47.37582941798948,1,403,3,4
0.34523809523809523,40.06364245448043,46.92673521164019,1,403,3,4
0.40476190476190477,38.497685068824666,46.532830291005325,1,403,3,4
0.4642857142857143,36.99224773725152,46.12574156084656,1,403,3,4
0.5238095238095238,35.55364514006544,45.70288727513224,1,403,3,4
0.5833333333333334,34.213040734380144,45.25347285714287,1,403,3,4
0.6428571428571429,32.87462831712415,44.819755000000015,1,403,3,4
0.7023809523809523,31.76994840769214,44.39482825396826,1,403,3,4
0.7619047619047619,30.668024797131636,43.98089005291007,1,403,3,4
0.8214285714285714,29.57630609626429,43.55122468253967,1,403,3,4
0.8809523809523809,28.589413784280424,43.118221719576724,1,403,3,4
0.9404761904761905,27.694137868427305,42.711504444444444,1,403,3,4
1.0,26.853792787410896,42.28676886243383,1,403,3,4
